epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5010.33,0.75725,0.61288,0.91097,0.89061,0.82649,0.9118,0.73355,0.76312,0.59714,0.8903,6.5104e-05,6.5104e-05,6.5104e-05
42,5129.8,0.74389,0.5907,0.90629,0.89274,0.83308,0.91497,0.72545,0.77272,0.59304,0.89077,5.89066e-05,5.89066e-05,5.89066e-05
43,5249.55,0.73849,0.58619,0.90621,0.88648,0.83798,0.91638,0.73206,0.77595,0.58811,0.89224,5.27092e-05,5.27092e-05,5.27092e-05
44,5368.47,0.73636,0.57611,0.90518,0.89369,0.83612,0.91471,0.74152,0.73635,0.57722,0.8821,4.65118e-05,4.65118e-05,4.65118e-05
45,5485.35,0.73354,0.57231,0.9039,0.90671,0.82862,0.91568,0.73998,0.74216,0.57748,0.88377,4.03144e-05,4.03144e-05,4.03144e-05
46,5604.75,0.72069,0.55021,0.89965,0.8427,0.89096,0.91799,0.74493,0.73216,0.56503,0.88205,3.4117e-05,3.4117e-05,3.4117e-05
47,5724.42,0.72205,0.54712,0.89772,0.89439,0.84115,0.91938,0.74443,0.73868,0.56359,0.88038,2.79196e-05,2.79196e-05,2.79196e-05
48,5842.81,0.71615,0.54428,0.89515,0.80122,0.91289,0.91825,0.74703,0.72603,0.55757,0.87725,2.17222e-05,2.17222e-05,2.17222e-05
49,5961.85,0.7153,0.53921,0.89559,0.8987,0.83621,0.91752,0.74524,0.73226,0.55349,0.8781,1.55248e-05,1.55248e-05,1.55248e-05
50,6080.43,0.71366,0.53039,0.89517,0.88872,0.84638,0.91855,0.74569,0.73081,0.55445,0.87835,9.3274e-06,9.3274e-06,9.3274e-06
